Fecha,          Estados Unidos Mexicanos,          Aguascalientes,          Baja California,          Baja California Sur,          Campeche,          Coahuila de Zaragoza,          Colima,          Chiapas,          Chihuahua,          Ciudad de México,          Durango,          Guanajuato,          Guerrero,          Hidalgo,          Jalisco,          México,          Michoacán de Ocampo,          Morelos,          Nayarit,          Nuevo León,          Oaxaca,          Puebla,          Querétaro,          Quintana Roo,          San Luis Potosí,          Sinaloa,          Sonora,          Tabasco,          Tamaulipas,          Tlaxcala,          Veracruz de Ignacio de la Llave,          Yucatán,          Zacatecas
2013-12-31,92.7020327190456,78.8052840807288,84.5293276042065,84.6979587837446,124.66669621244,91.8770092564551,88.4061000083734,108.674243476025,90.8146443485696,95.9256861776464,103.158575960051,86.1695737294208,97.9761950990926,94.5703463018151,89.8100024814192,86.4731317777534,86.4224299654987,95.9875638015181,92.4327250241674,87.2390332523357,105.648872711203,86.5120590348984,85.7225676368035,78.3326229790948,82.0657291556907,94.212485403695,90.4691877622658,135.334166722426,94.1210722231061,89.9501544337474,104.175522343479,86.8653432331135,89.9508566977293
2014-01-31,89.0341017186705,82.1775277082477,80.0049088724571,79.5857324876449,120.186740431527,91.4035973119216,88.2648328798533,106.729356794006,80.7781859165266,88.8656225916213,93.7634349729073,83.8836258613586,94.5621068822674,90.5762093169076,85.0802973347733,83.7089509108284,86.8445987164996,93.3890468871541,92.534353003293,83.6382240791407,101.532017892597,85.1791646090252,84.1533077096471,80.155570113209,79.2147900694392,84.4599181777309,87.7754920161943,126.078143378919,95.2100206300198,85.2078552429043,106.236392111445,83.6307550727185,84.2648389134997
2014-02-28,89.0341017186705,82.1775277082477,80.0049088724571,79.5857324876449,120.186740431527,91.4035973119216,88.2648328798533,106.729356794006,80.7781859165266,88.8656225916213,93.7634349729073,83.8836258613586,94.5621068822674,90.5762093169076,85.0802973347733,83.7089509108284,86.8445987164996,93.3890468871541,92.534353003293,83.6382240791407,101.532017892597,85.1791646090252,84.1533077096471,80.155570113209,79.2147900694392,84.4599181777309,87.7754920161943,126.078143378919,95.2100206300198,85.2078552429043,106.236392111445,83.6307550727185,84.2648389134997
2014-03-31,89.0341017186705,82.1775277082477,80.0049088724571,79.5857324876449,120.186740431527,91.4035973119216,88.2648328798533,106.729356794006,80.7781859165266,88.8656225916213,93.7634349729073,83.8836258613586,94.5621068822674,90.5762093169076,85.0802973347733,83.7089509108284,86.8445987164996,93.3890468871541,92.534353003293,83.6382240791407,101.532017892597,85.1791646090252,84.1533077096471,80.155570113209,79.2147900694392,84.4599181777309,87.7754920161943,126.078143378919,95.2100206300198,85.2078552429043,106.236392111445,83.6307550727185,84.2648389134997
2014-04-30,92.2893260255069,82.9368844803786,86.1846647929723,80.463135266636,121.068016805962,95.4441776729915,87.1945130251347,107.007624575163,87.3107312480697,91.1365931914692,100.604451014671,86.1156491820143,100.564073755727,96.4981518944239,89.1155030441328,87.9034005079201,90.6622558669312,94.9889252817693,95.1757178724568,87.9497650063866,103.929102059806,89.0368650555711,87.7022588510138,78.5426298836048,83.4589390027353,86.9009414870546,95.547563964956,128.421585923252,94.7262263278276,89.9976619974679,104.705768150592,84.8467661676662,92.673861176458
2014-05-31,92.2893260255069,82.9368844803786,86.1846647929723,80.463135266636,121.068016805962,95.4441776729915,87.1945130251347,107.007624575163,87.3107312480697,91.1365931914692,100.604451014671,86.1156491820143,100.564073755727,96.4981518944239,89.1155030441328,87.9034005079201,90.6622558669312,94.9889252817693,95.1757178724568,87.9497650063866,103.929102059806,89.0368650555711,87.7022588510138,78.5426298836048,83.4589390027353,86.9009414870546,95.547563964956,128.421585923252,94.7262263278276,89.9976619974679,104.705768150592,84.8467661676662,92.673861176458
2014-06-30,92.2893260255069,82.9368844803786,86.1846647929723,80.463135266636,121.068016805962,95.4441776729915,87.1945130251347,107.007624575163,87.3107312480697,91.1365931914692,100.604451014671,86.1156491820143,100.564073755727,96.4981518944239,89.1155030441328,87.9034005079201,90.6622558669312,94.9889252817693,95.1757178724568,87.9497650063866,103.929102059806,89.0368650555711,87.7022588510138,78.5426298836048,83.4589390027353,86.9009414870546,95.547563964956,128.421585923252,94.7262263278276,89.9976619974679,104.705768150592,84.8467661676662,92.673861176458
2014-07-31,92.3691931197351,83.9431342983581,88.6385452108376,78.3508494198335,121.802750831757,93.5957662401662,86.8748117151605,104.634046037869,90.3043401819985,92.7463086671062,101.546283341136,88.3971943244064,100.450475955248,96.8471939949671,89.2770850002222,86.9120191475972,85.8686700910954,93.7259809922307,90.6101764232305,88.8223297659394,102.084801868736,87.3111498360563,90.2411723802778,78.933907695902,82.3129410309968,86.6150052232652,90.7026908991805,130.006441516622,94.7222964601405,88.2498161658737,102.254992413624,86.7411442922987,99.5727719507797
2014-08-31,92.3691931197351,83.9431342983581,88.6385452108376,78.3508494198335,121.802750831757,93.5957662401662,86.8748117151605,104.634046037869,90.3043401819985,92.7463086671062,101.546283341136,88.3971943244064,100.450475955248,96.8471939949671,89.2770850002222,86.9120191475972,85.8686700910954,93.7259809922307,90.6101764232305,88.8223297659394,102.084801868736,87.3111498360563,90.2411723802778,78.933907695902,82.3129410309968,86.6150052232652,90.7026908991805,130.006441516622,94.7222964601405,88.2498161658737,102.254992413624,86.7411442922987,99.5727719507797
2014-09-30,92.3691931197351,83.9431342983581,88.6385452108376,78.3508494198335,121.802750831757,93.5957662401662,86.8748117151605,104.634046037869,90.3043401819985,92.7463086671062,101.546283341136,88.3971943244064,100.450475955248,96.8471939949671,89.2770850002222,86.9120191475972,85.8686700910954,93.7259809922307,90.6101764232305,88.8223297659394,102.084801868736,87.3111498360563,90.2411723802778,78.933907695902,82.3129410309968,86.6150052232652,90.7026908991805,130.006441516622,94.7222964601405,88.2498161658737,102.254992413624,86.7411442922987,99.5727719507797
