Periodos,IPC,AGUASCALIENTES_x,BAJA CALIFORNIA_x,BAJA CALIFORNIA SUR_x,CAMPECHE_x,COAHUILA_x,COLIMA_x,CHIAPAS_x,CHIHUAHUA_x,DISTRITO FEDERAL_x,DURANGO_x,GUANAJUATO_x,GUERRERO_x,HIDALGO_x,JALISCO_x,ESTADO DE MÉXICO_x,MICHOACÁN_x,MORELOS_x,NAYARIT_x,NUEVO LEÓN_x,OAXACA_x,PUEBLA_x,QUERÉTARO_x,QUINTANA ROO_x,SAN LUIS POTOSÍ_x,SINALOA_x,SONORA_x,TABASCO_x,TAMAULIPAS_x,TLAXCALA_x,VERACRUZ_x,YUCATÁN_x,ZACATECAS_x,NACIONAL_x,AGUASCALIENTES_y,BAJA CALIFORNIA_y,BAJA CALIFORNIA SUR_y,CAMPECHE_y,COAHUILA_y,COLIMA_y,CHIAPAS_y,CHIHUAHUA_y,DISTRITO FEDERAL_y,DURANGO_y,GUANAJUATO_y,GUERRERO_y,HIDALGO_y,JALISCO_y,ESTADO DE MÉXICO_y,MICHOACÁN_y,MORELOS_y,NAYARIT_y,NUEVO LEÓN_y,OAXACA_y,PUEBLA_y,QUERÉTARO_y,QUINTANA ROO_y,SAN LUIS POTOSÍ_y,SINALOA_y,SONORA_y,TABASCO_y,TAMAULIPAS_y,TLAXCALA_y,VERACRUZ_y,YUCATÁN_y,ZACATECAS_y,NACIONAL_y,carros
02/1993,-0.1794294337448222,-0.29490054540199206,-6.513915521371472,-1.392184304661327,-0.7837796606267706,0.006924394185471044,-0.2383590453501872,-0.03196520349144514,-0.23701938757841276,0.09398916244257936,-0.07728331802052671,-0.07319692265326941,0.035947447322695544,0.011486602872086476,-0.24540956676010084,0.023078179498600027,-0.10944650513168193,0.03040051276506536,-0.1999023931348907,-0.05772295747116672,-0.04759070820082786,0.0718179626507649,-0.01950306643533366,-1.7755039305296956,0.09641833607826997,-0.06540870674941791,-1.1592846827826888,-0.24315257317060782,0.09725633787981665,0.053901058039779286,-0.051523092139022016,-2.7750944185380026,-0.22715040204122022,-0.6933009109452496,0.5699166335385999,0.08955417982629318,-0.30878750493257684,0.06117761321193104,0.37678037288138394,-0.013787646455739756,0.47261974971175635,0.08033095855805357,0.517887721199725,0.3594942285569455,0.4822931492137922,0.7556494469328238,0.3767211725512155,0.3664671715376232,0.4605076314327725,0.322983680338399,0.7152786169468964,0.04918435309457173,0.6824318385066909,0.5753165624859741,0.2880359500989955,0.5245948840680199,-0.25046851522212144,0.44921810797889405,-0.1399092497154608,-0.0733187976495867,0.3922881749367534,0.6466225110432714,0.850967661902619,0.34193750793468725,-0.5444129389507765,0.4385887944821454,0.32147605564963266,-1.2176770468530251
03/1993,0.06789284742215357,-0.003995392458305852,-0.4917466016691627,-0.37505080390329887,0.16255532912135134,0.11096135787605284,-0.004064912754350552,0.17342208715028612,-0.11714887978824802,-0.23202946611118594,-0.06606245751327608,-0.05505922157119995,-0.045057318308339846,0.02361578190792776,-0.006970413742406739,-0.09852284629584147,-0.036455113485776215,-0.016983429967271698,-0.006917078878817304,-0.04130466719141926,0.25332402111877445,0.3146578517868209,-0.006646637525529196,0.12533787158908208,-0.22658153112994028,-0.19037821729288779,-0.6842157745069429,0.1816073100811922,0.005541588139669986,0.05763120205633745,0.09797793905657913,0.4670080044873014,0.09993894190884653,-0.03299392468651685,0.5699166335386008,0.8676804978725331,1.0359912147737893,0.48330314437424693,0.7032176115178143,0.24706572923107917,1.0522151144915664,0.743243019583356,0.8197797808182025,0.7735214549656808,0.7008060360534144,0.6709907266604088,0.5720765816593398,0.7440394088794147,0.6950605848286231,0.7872727208248494,0.9323044363154197,0.5917540663854641,0.6824318385066909,0.8268433339343714,0.8823475938388742,0.4056867103459378,0.6232257945672934,0.6343504191459544,0.6651920795921745,0.8812751630076778,0.5915753248721453,0.7631337561206538,0.6942421057067062,0.5174704168219447,0.9282411808148169,0.5389329832723841,0.713579426555627,-1.2136307345457908
04/1993,-0.17925041479957296,0.08289835452487314,-0.17012668116190036,-0.005444545881367495,0.2319380627447113,-0.16151640417070892,-0.004064912754350552,0.21609996572519133,-0.10002452153251022,0.2334308650167802,0.05287866386358057,0.17943534241841255,-5.467073554239781e-05,-0.026633674097700444,0.03493707375767283,0.23925778091094038,0.150783673779808,0.13773964834240038,-0.006917078878817304,0.0038456310778862976,-0.2397636661775209,-0.18852390047707895,0.15314040749632687,0.24986315342345283,0.25730883597066145,-0.006357179789316778,0.12524629736095488,0.1267995832099923,-0.027577627044271885,0.48659776396052773,-0.10877880621393314,-0.03999299994743135,-0.09233655081855759,0.03352954034701226,1.3104159575334484,0.597027865508624,0.6997965348471993,1.3275542066988837,1.1602297456088155,0.7687724806047139,1.6318104792713797,1.1536171525990198,0.9707258106274372,1.270354126656163,1.3017164748623715,0.9249668874776598,1.288379748389128,1.3733264711157358,1.242350809418939,1.4505427786626306,1.0769883158944344,1.1343237796763563,1.2709752051592766,1.1622123625322351,1.3280813266437848,1.2380439264005278,1.258639838050511,1.1434642748553667,0.9194346046366897,0.9111062242782177,1.2558658246567729,1.190341654737721,1.2427815523924024,1.2781130220000678,0.9951800044405267,1.391858587989417,1.2177123320061884,-1.2114982186000862
05/1993,-0.13906051240866796,0.05645243152999259,-0.002753049061182262,-0.005444545881367495,0.295633687054681,0.7822474807367114,-0.004064912754350552,0.3645834182670489,0.2718186863063681,0.046853939037215755,0.12469217110998458,-0.03303487025725843,-0.028181325468540814,0.278328541660595,0.004590272464511768,-0.0676400460940785,-0.11262004389889523,-0.10401516151646222,0.027412039522503442,0.47039871319404364,0.05365163063567384,0.03134464779475558,0.16416020370473067,1.2213434771460074,0.4023540593584993,0.062307386443358974,-0.15379903225732328,0.21189579072053955,1.0793684496805538,-0.29859755152496836,0.41924611247691373,1.0078090758843499,0.23696285626630695,0.44745332277785954,0.887273486679249,0.597027865508624,0.40562618991143073,0.20188612359936717,0.8664362308360288,0.5948702301468387,0.27942129478515304,1.1220499115978138,-0.16136941294184465,0.77352145496568,0.5915495926336042,1.0942843280224896,0.11624729374038352,0.8069681151030477,0.3823233136341561,0.720945715041068,0.787620556736405,0.8328961611814178,0.5720799572593303,0.3237897910375768,0.3623249055664802,0.4651407972069789,0.8615060608735022,0.49550118577065805,1.046555867158948,1.0602615306309142,0.5251462748936814,0.45243710258096925,0.22406543711896623,0.5174704168219467,0.7943635335633995,0.8399655496431033,0.6575646592833435,-1.2094203825504253
06/1993,-0.0572191671213521,1.3031888012886481,-0.002753049061182262,-0.005444545881367495,1.1839601618062232,0.8639908093507399,2.175090859696582,1.287492542449374,-0.14161224872501632,2.5626964882985015,0.8473155877769252,2.742033395299371,2.5965980942148708,1.9920082654387437,3.302276012988015,2.416495195135225,4.197045601976755,2.560122843128203,1.9507704840073117,2.127277840591893,2.233174202810363,1.7257545048747134,2.3938323032051128,0.8093112946058099,1.4652064525870252,0.2271023454017808,0.1413894156033346,1.1804060168787187,1.9633967318980783,1.9171079943105884,3.2587054141919496,2.369275773126418,1.0480560267370804,2.4382296097071734,0.8343806778224753,0.6985226026450891,1.1620642197462598,0.06117761321193104,0.6052864399268855,0.7687724806047139,-0.5899717523845637,1.2798861166038396,0.14052264667663017,1.146145958733543,0.31840848408407785,-0.6835487976982579,0.24648423314579893,1.1845403524448388,0.30413899583553833,0.3893106861221783,-0.15282466052719715,1.3754658744723083,0.49851203642775843,-0.5146327804570788,-0.00911987177094444,0.10841627604072387,0.0672385065194816,0.1252365634365405,1.55504091724798,1.1199236531719943,-0.006286124934023354,0.3747629391960467,0.4591537714128369,0.0493826597892532,-0.2097188208222343,1.1911702104089386,0.6015498920110561,-1.2073243198687498
07/1993,-0.0258011930476589,0.5551469794334545,0.0005287868623612305,0.24668995571498878,-0.5688069285806227,-1.0606930189250228,0.3124892287779556,-0.3831685792641024,3.0508573975232482,0.7833418047460236,1.7068335026323227,-0.4489064450675659,0.07082449919161364,-0.9640459395820064,1.293606784535925,0.26241988106226255,-0.7266997953546669,-0.7045341092058768,0.3660641534814785,-2.702435883367155,-0.2519502440004332,-0.15351995249350328,0.6325015425618953,-2.214089298166928,-1.4430112197102944,1.4053863019544968,1.0177301201896625,-0.9931530461449238,-2.943342379199768,0.01659961787419731,-2.612125860489213,-2.9954708551323,0.8602006602792721,-0.3951772343135086,-0.8052963967375472,0.3940383912356926,0.8678938748104943,-0.14988515236922814,0.27884920129045404,0.24706572923107917,-0.589971752384567,-0.3616104154588155,-0.38778845765570213,-0.38575477897877763,-0.8287841718239339,-1.2761598396051779,-0.40470046388127806,-1.3326078965004435,-0.8686257711437089,-1.4015184700398395,-1.4549795767383324,-0.49338536019632073,0.4985120364277572,-0.7661595519054731,-0.9005873373807631,-0.24830824512552901,0.38494552826109046,-0.05989574773051819,-0.1822830038895459,0.1056675699736498,-0.33843137482633845,0.18057753073374316,-0.9513762343503857,-0.1846612187270893,0.12497529730631264,-0.6651972822104862,-0.29468638434549765,-1.2061395887878028
08/1993,0.0013946937935583898,0.062119415028895564,0.16790241896307936,2.037417950007292,0.9769493827988214,-0.3572049787315651,-0.07310456311174468,3.609880434900464,-0.041312436084266824,-1.1963375782792514,-0.9368012328759245,-0.499432898081902,-0.22844310716748964,-0.1981749204617416,-2.3754660003848347,-1.0964233278153055,-1.0059712068694369,-0.3728465100795172,1.3170735145991477,0.48271243090385413,2.3728511332422033,1.9029619915415656,-2.1940761848936963,0.824876954835106,1.2104631610907386,0.8862821812354682,2.016297291468294,1.8893006946996347,0.34310281982215424,-0.9868091225799518,1.1360028294146898,0.19390346343179193,0.08888862623485785,1.1397901255342173,-0.06479707274269939,0.4617015493266685,0.40562618991143073,-0.3609479179503874,-0.014944313482332742,0.07316347877319777,-0.30017406999466034,0.01719647655564402,-0.08589639803722453,0.02827244742995621,0.15452381895435965,0.16303840502590694,-0.14422658507044958,0.051823640419460366,-0.008598275358927153,0.057675657203286455,0.28122697820985215,-0.011101170604417253,-0.01646340939325488,-0.17926375185921475,-0.0834088272384304,-0.06994598454240362,-0.1710417597867214,0.03267040785300946,-0.1399092497154608,0.07583650870311093,-0.33843137482633845,0.2582516941186643,-0.011022897174904393,-0.2431721883561786,-0.14277999719652676,-0.06313214946904963,0.041402219288211195,-1.2043169255863457
09/1993,-0.1483471947846985,-0.1796718809242981,-0.1569993374677264,0.27247643883279804,0.500369622336727,1.4287628979567553,-1.1814112906575673,-1.7052936926158526,-0.11470254289457107,0.34537702060451914,2.4092593703862124,0.09263348723993722,0.5838546815215049,2.3333580183045632,-0.43327071762252656,0.8047990596057235,-0.00471972581364339,0.2102660913000589,-0.2926837942195415,2.361238477078294,-0.7890970972718732,1.5036982098539058,0.11273448806551262,1.262546695400027,3.590911239044077,1.112875249803298,-0.23682078321813316,0.08353032515378146,2.8334130384608587,2.500875532901943,1.508164970901612,2.424707882944616,-0.06802585633578248,0.9771772110078132,-0.4350467347401233,-0.41791950585603643,-0.6449821848591669,-0.07953089717551005,-0.9289685816643378,-0.36159214737149625,-0.10697561506805353,-0.9929552354829132,-0.5387344874649396,-1.1724065091553741,-0.5556430632744075,-0.5142313571534279,-0.46981893358398696,-0.26281989069869793,-0.24315122875477768,-0.27395937171560536,-0.5145343594747328,-0.25224326540037106,-0.899278459372133,-0.09542149470975098,-0.23198673817339974,-0.36721641884761336,-0.3298952706575244,-0.5690096034399321,-0.5212730372822344,-0.6401089617898372,-0.0727151749124873,-0.7515124298853147,-0.32447400956673145,-0.18466121872709143,-0.2097188208222319,-0.7153693766056064,-0.5747602207069211,-1.2026400754410054
10/1993,0.03396114899225259,-1.2242858392220803,0.033347146097796154,-2.45229527728237,-1.3957126227475514,-1.3529873454842765,-0.6555348049565671,-0.41517698819528126,-2.093789089879128,-2.290267554812066,-3.8362715879494864,-1.8286672773821366,-2.389695256851087,-3.16462556465607,-1.4318249887451122,-2.3510370860119236,-1.5835552625022562,-1.2982839222192433,-2.8293272998738903,-2.4274295211813848,-2.0799369174372697,-4.059741772785648,-1.0425074811154922,-1.0008834273541245,-4.499930717665734,-3.046824172572199,-2.1163409785809155,-0.03546013450079711,-3.036330944908528,-3.236085964564532,-2.793435621726432,-2.496581866768523,-1.8228159853651946,-3.2975713754059974,-0.48793954359689706,-0.8915616124928786,-0.5609335148775194,-0.14988515236922814,-1.026899753255266,0.3340168544600167,-0.30017406999466034,-1.2454931634925512,-0.010423383132607225,-0.841184728028387,-0.4463866198545953,0.4170145658431579,-0.46981893358398696,-0.26281989069869793,-0.5558884999492432,-0.20763236593182838,-0.08048272073768853,-0.1316722180023931,-1.1567661822826403,-0.26310600900868153,-0.15769778270591378,-0.48612459256969975,-0.17104175978672417,-0.707858836815227,-0.43652552893406266,-0.9682506357657734,-0.7370056746971154,-1.1787203285023817,-0.40283678766468783,-0.711259945388868,-0.4105352916993615,-0.4645089046300068,-0.6307749879792066,-1.2009449986636505
