,AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,COAHUILA,COLIMA,CHIAPAS,CHIHUAHUA,DISTRITO FEDERAL,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,ESTADO DE MÉXICO,MICHOACÁN,MORELOS,NAYARIT,NUEVO LEÓN,OAXACA,PUEBLA,QUERÉTARO,QUINTANA ROO,SAN LUIS POTOSÍ,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATÁN,ZACATECAS,NACIONAL
65,53.1,1.5,3.3,149.6,22.1,88.6,205.3,32.7,140.3,34.0,71.9,182.6,94.8,111.5,154.4,153.9,148.8,84.8,42.6,183.2,146.9,64.8,115.1,94.1,35.1,57.8,207.4,75.5,96.2,142.7,90.2,50.0,80.4
66,190.4,3.1,38.9,253.9,68.0,266.1,175.3,232.0,218.5,232.9,220.7,210.9,170.9,378.9,273.6,188.4,193.8,505.7,121.9,196.9,188.3,144.6,151.9,178.5,350.0,249.1,134.3,250.2,151.0,211.0,194.1,236.7,201.7
67,185.1,6.4,96.9,215.7,39.9,311.5,237.8,104.0,161.4,144.3,210.4,225.1,142.1,319.0,216.6,198.2,138.0,440.7,81.4,211.0,138.1,126.3,101.9,230.5,251.4,189.2,234.3,109.0,101.0,172.6,168.2,169.3,157.7
68,111.0,7.0,51.7,237.6,94.6,258.3,328.5,74.4,149.0,146.0,133.6,246.5,144.6,194.5,187.5,126.0,184.0,294.7,236.8,211.1,171.6,96.8,298.0,188.2,250.1,58.3,360.1,271.9,77.1,201.2,218.8,126.1,153.9
69,49.5,5.1,14.7,114.1,67.4,139.9,227.6,21.7,57.2,77.4,65.3,129.4,84.2,99.2,114.8,53.3,101.2,125.9,124.9,211.8,161.5,45.7,124.7,114.5,120.8,25.4,341.4,143.7,76.7,214.5,153.3,58.9,92.8
70,10.7,21.8,9.6,48.3,15.4,20.8,113.5,4.4,0.3,14.1,9.6,23.4,36.3,14.4,13.0,13.5,11.3,14.2,19.5,64.0,65.2,11.5,85.7,38.3,21.3,18.1,213.1,28.2,11.6,87.5,68.7,13.5,30.8
71,11.0,37.0,26.5,23.8,13.1,21.1,116.0,20.3,4.8,34.4,10.1,7.6,23.5,14.9,10.4,20.9,3.9,17.7,16.6,43.3,38.3,6.9,62.1,29.6,43.0,37.7,197.8,16.5,6.6,58.4,54.2,19.3,32.7
72,0.0,7.3,9.3,50.5,14.1,1.0,31.0,21.6,13.5,1.6,3.0,1.2,17.6,1.4,11.2,2.9,1.1,0.7,13.7,6.5,15.3,8.5,31.5,9.6,10.2,21.8,176.7,10.8,1.1,53.9,58.6,3.4,17.9
73,19.6,23.7,14.7,71.9,23.2,2.5,11.0,25.3,2.6,3.9,8.9,0.3,18.1,5.1,2.9,6.1,0.8,1.5,16.6,3.7,16.2,8.8,31.8,19.4,6.3,49.2,97.8,17.8,1.9,31.2,38.8,11.8,22.1
74,0.0,40.9,2.8,5.2,8.2,0.0,6.5,4.3,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,11.3,10.8,6.8,0.0,19.2,3.4,1.5,37.2,28.2,19.0,2.1,19.8,12.2,0.0,10.7
75,0.0,0.0,0.0,5.7,18.2,0.0,42.8,0.9,40.6,0.3,2.5,0.9,22.8,0.0,11.5,0.9,14.9,0.0,48.3,12.6,34.0,6.9,15.3,8.5,0.0,0.0,3.2,47.7,25.9,18.3,3.2,2.0,10.2
76,3.7,0.0,0.0,84.1,12.7,0.0,125.6,0.0,72.2,0.1,11.8,62.4,23.4,2.3,42.8,2.5,65.6,0.0,64.0,100.3,123.9,9.6,25.1,34.5,0.0,0.0,76.0,66.1,72.1,106.9,31.9,5.0,30.3
77,72.0,0.0,0.0,115.1,90.8,83.6,250.7,30.6,281.9,23.6,151.4,203.0,144.3,117.8,183.5,141.0,248.1,84.5,108.4,333.5,232.7,141.3,49.4,92.3,14.5,5.2,231.7,157.0,144.4,247.6,77.5,58.6,99.9
